,equity
2023-10-26 00:00:00-04:00,136210.71521
2023-10-27 00:00:00-04:00,135710.23521
2023-10-30 00:00:00-04:00,136601.75521000003
2023-10-31 00:00:00-04:00,136601.75521000003
2023-11-01 00:00:00-04:00,130348.31521000003
2023-11-02 00:00:00-04:00,135410.07520999998
2023-11-03 00:00:00-04:00,132711.70805000002
2023-11-06 00:00:00-05:00,131030.44805
2023-11-07 00:00:00-05:00,132358.42805000002
2023-11-08 00:00:00-05:00,130806.48805000001
2023-11-09 00:00:00-05:00,131976.59805000003
2023-11-10 00:00:00-05:00,134987.54805
2023-11-13 00:00:00-05:00,135420.54805
2023-11-14 00:00:00-05:00,134111.51805
2023-11-15 00:00:00-05:00,135337.16805
2023-11-16 00:00:00-05:00,133919.51805
2023-11-17 00:00:00-05:00,133009.084715
2023-11-20 00:00:00-05:00,137895.64471500003
2023-11-21 00:00:00-05:00,133409.66471500002
2023-11-22 00:00:00-05:00,130804.70331500002
2023-11-23 00:00:00-05:00,128587.08331500003
2023-11-24 00:00:00-05:00,132125.76964500002
2023-11-27 00:00:00-05:00,134922.78809000002
2023-11-28 00:00:00-05:00,136667.73809000003
2023-11-29 00:00:00-05:00,136667.73809000003
2023-11-30 00:00:00-05:00,140584.91809000002
2023-12-01 00:00:00-05:00,139877.08809
2023-12-04 00:00:00-05:00,140023.07809
2023-12-05 00:00:00-05:00,139756.20358
2023-12-06 00:00:00-05:00,139209.00358
2023-12-07 00:00:00-05:00,140166.73358
2023-12-08 00:00:00-05:00,139333.01358
2023-12-11 00:00:00-05:00,136231.66358
2023-12-12 00:00:00-05:00,136131.90357999998
2023-12-13 00:00:00-05:00,135240.59358
2023-12-14 00:00:00-05:00,135203.61358
2023-12-15 00:00:00-05:00,136647.19358
2023-12-18 00:00:00-05:00,137054.86358
2023-12-19 00:00:00-05:00,134693.03358
2023-12-20 00:00:00-05:00,135084.52357999998
2023-12-21 00:00:00-05:00,135084.52357999998
2023-12-22 00:00:00-05:00,132530.63358
2023-12-25 00:00:00-05:00,131274.77357999998
2023-12-26 00:00:00-05:00,129877.21358
2023-12-27 00:00:00-05:00,127832.28131999998
2023-12-28 00:00:00-05:00,127645.09439999999
2023-12-29 00:00:00-05:00,126738.58439999999
2024-01-01 00:00:00-05:00,126635.39439999999
2024-01-02 00:00:00-05:00,126259.29439999998
2024-01-03 00:00:00-05:00,127661.58439999999
2024-01-04 00:00:00-05:00,128941.22439999999
2024-01-05 00:00:00-05:00,129439.50593999997
2024-01-08 00:00:00-05:00,130092.88114
2024-01-09 00:00:00-05:00,126371.30113999998
2024-01-10 00:00:00-05:00,127017.56657999998
2024-01-11 00:00:00-05:00,126628.76657999998
2024-01-12 00:00:00-05:00,127383.09657999998
2024-01-15 00:00:00-05:00,128768.20658
2024-01-16 00:00:00-05:00,127012.46818
2024-01-17 00:00:00-05:00,125098.796745
2024-01-18 00:00:00-05:00,125025.21386499998
2024-01-19 00:00:00-05:00,126026.49386499998
2024-01-22 00:00:00-05:00,126048.193865
2024-01-23 00:00:00-05:00,124772.65386499999
2024-01-24 00:00:00-05:00,124338.37386499999
2024-01-25 00:00:00-05:00,124338.37386499999
2023-10-31 00:00:00-04:00,130317.63386499998
2023-11-01 00:00:00-04:00,128556.71172999998
2023-11-02 00:00:00-04:00,130514.12172999998
2023-11-03 00:00:00-04:00,128512.19172999999
2023-11-06 00:00:00-05:00,126889.73172999998
2023-11-07 00:00:00-05:00,128169.26172999998
2023-11-08 00:00:00-05:00,126671.12172999998
2023-11-09 00:00:00-05:00,127799.03172999999
2023-11-10 00:00:00-05:00,130127.26716499998
2023-11-13 00:00:00-05:00,130460.32991
2023-11-14 00:00:00-05:00,127623.51011
2023-11-15 00:00:00-05:00,130732.85011000003
2023-11-16 00:00:00-05:00,127132.35010999997
2023-11-17 00:00:00-05:00,124434.08931000001
2023-11-20 00:00:00-05:00,129068.83931000001
2023-11-21 00:00:00-05:00,124814.52931000001
2023-11-22 00:00:00-05:00,122340.13129000005
2023-11-23 00:00:00-05:00,120245.83129000003
2023-11-24 00:00:00-05:00,123573.29970500001
2023-11-27 00:00:00-05:00,126186.32355500001
2023-11-28 00:00:00-05:00,127816.52355500002
2023-11-29 00:00:00-05:00,127816.52355500002
2023-11-30 00:00:00-05:00,131476.06355500003
2023-12-01 00:00:00-05:00,130814.52355500002
2023-12-04 00:00:00-05:00,130950.79355500001
2023-12-05 00:00:00-05:00,130255.63355500004
2023-12-06 00:00:00-05:00,129199.533555
2023-12-07 00:00:00-05:00,131048.11355500002
2023-12-08 00:00:00-05:00,129439.42355500002
2023-12-11 00:00:00-05:00,123453.23355500001
2023-12-12 00:00:00-05:00,123108.49423500002
2023-12-13 00:00:00-05:00,121837.56423500003
2023-12-14 00:00:00-05:00,121739.07423500004
2023-12-15 00:00:00-05:00,123908.76423500004
2023-12-18 00:00:00-05:00,124530.42423500001
2023-12-19 00:00:00-05:00,121018.28423500003
2023-12-20 00:00:00-05:00,121203.16135500002
2023-12-21 00:00:00-05:00,121203.16135500002
2023-12-22 00:00:00-05:00,118085.27135500003
2023-12-25 00:00:00-05:00,116555.58135500003
2023-12-26 00:00:00-05:00,114851.90135500004
2023-12-27 00:00:00-05:00,111539.22135500002
2023-12-28 00:00:00-05:00,112141.97135500002
2023-12-29 00:00:00-05:00,109718.21135500004
2024-01-01 00:00:00-05:00,109442.861355
2024-01-02 00:00:00-05:00,108437.17135500003
2024-01-03 00:00:00-05:00,112183.741355
2024-01-04 00:00:00-05:00,115604.71135500004
2024-01-05 00:00:00-05:00,116558.70135500003
2024-01-08 00:00:00-05:00,117822.71135500004
2024-01-09 00:00:00-05:00,113251.54135500002
2024-01-10 00:00:00-05:00,114442.021355
2024-01-11 00:00:00-05:00,113660.10135499999
2024-01-12 00:00:00-05:00,115007.93135500001
2024-01-15 00:00:00-05:00,117512.861355
2024-01-16 00:00:00-05:00,114620.42135500003
2024-01-17 00:00:00-05:00,111034.991355
2024-01-18 00:00:00-05:00,110891.90135500004
2024-01-19 00:00:00-05:00,113670.981355
